channel,laser,autolevel,t_ms,tp,tp_err,tp_rms_err,pd_flux_ph_s,pd_flux_err_ph_s,laser_flux_ph_s,laser_flux_err_ph_s,pd_route_tx,laser_route_tx,atten_tx,pd_raw,pd_mv,pd_net_mv,pd_mean_net_mv,pd_mean_net_err_mv,laser_current_ma,atten_db,wavelength_nm,pd_ontime_s,laser_current_ontime_s,flags
yj_m,,False,1789176899066,0.00014805238930022086,2.9194201500397762e-06,2.9194201500397762e-06,550503273.319812,10855281.406730503,3718300501071.284,0.0,1.0,1.0,1.6491540981661725e-05,22216,1388.5,1390.19875,1978.573750000001,39.01516281764694,250.0,47.82738761665105,1028.01,373,3,()
yj_m,,False,1789176899174,0.0003796024115223112,2.5429248934282902e-05,2.5429248934282902e-05,465460156.7786331,31180787.67794795,1226178081725.0566,0.0,1.0,1.0,5.438389414668898e-06,8199,512.4375,514.13625,1672.9187500000003,112.06743173726922,250.0,52.645296980749606,1028.01,373,3,()
yj_m,,False,1789176899282,0.0002976225746337193,3.42128307497064e-05,3.42128307497064e-05,364938277.6424464,41951023.17905903,1226178081725.0566,0.0,1.0,1.0,5.438389414668898e-06,1965,122.8125,124.51125,1311.6312499999997,150.7769295306397,250.0,52.645296980749606,1028.01,373,3,()
yj_m,,False,1789176899388,0.00021049074052254018,3.489908183092818e-05,3.4899081830928175e-05,258099132.43481496,42792489.21341329,1226178081725.0566,0.0,1.0,1.0,5.438389414668898e-06,2112,132.0,133.69875,927.6387499999997,153.80125779130515,250.0,52.645296980749606,1028.01,373,3,()
yj_m,,False,1789176899494,0.0001059656684856017,2.1747715542095204e-05,2.17477155420952e-05,129932780.11238839,26666572.125308495,1226178081725.0566,0.0,1.0,1.0,5.438389414668898e-06,2068,129.25,130.94875,466.9937499999997,95.84280814796432,250.0,52.645296980749606,1028.01,373,3,()
yj_m,,False,1789176899601,1.6659575559573916e-05,2.5749075363699322e-06,2.5749075363699322e-06,61945308.15079861,9574279.982696544,3718300501071.284,0.0,1.0,1.0,1.6491540981661725e-05,2166,135.375,137.07375,222.63874999999985,34.41109248029623,250.0,47.82738761665105,1028.01,373,4,()
yj_m,,False,1789176899709,4.5381518671815005e-06,5.792523881603948e-07,5.792523881603948e-07,50786103.17566221,6482368.243910951,11190921913154.004,0.0,1.0,1.0,4.963438197105989e-05,8699,543.6875,545.38625,182.53124999999997,23.29839669778803,250.0,43.04217381424828,1028.01,373,4,()
yj_m,,False,1789176899817,3.0390990989713466e-06,6.20038218952512e-07,6.200382189525119e-07,102969976.24458231,21007975.915587354,33881743533613.26,0.0,1.0,1.0,0.0001502735354105322,21677,1354.8125,1356.51125,370.08624999999984,75.5051453855133,250.0,38.231174960409206,1028.01,373,4,()
yj_m,,False,1789176899925,5.985907076620126e-06,1.1600633441471785e-06,1.1600633441471785e-06,202812968.3860838,39304968.70914044,33881743533613.26,0.0,1.0,1.0,0.0001502735354105322,32767,2047.9375,2049.63625,728.9337499999998,141.26669740489973,250.0,38.231174960409206,1028.01,374,4,()
yj_m,,False,1789176900031,9.143452093614063e-06,1.3009606653752365e-06,1.3009606653752365e-06,309796098.8477109,44078815.611562625,33881743533613.26,0.0,1.0,1.0,0.0001502735354105322,32767,2047.9375,2049.63625,1113.4437499999997,158.42446671422786,250.0,38.231174960409206,1028.01,374,4,()
