channel,laser,autolevel,t_ms,tp,tp_err,tp_pd_err,pd_power_nw,pd_power_err_nw,delivered_power_nw,delivered_power_err_nw,laser_output_power_uw,laser_output_power_err_uw,pd_route_tx,laser_route_tx,atten_tx,pd_mv,pd_net_mv,pd_net_err_mv,laser_current_ma,atten_db,wavelength_nm,pd_raw,pd_ontime_s,laser_current_ontime_s,flags
yj_m,,True,1789508445486,123065.66822675323,83199.8496313838,72621.00935061953,4.123121022602589e-05,2.433052326051292e-05,3.3503422051108353e-10,1.1053099543463333e-10,43567.5,1377.7253195938588,0.98,7.744e-06,9.93027290792843e-13,2.875,0.7515624999999999,0.44349677799262954,250.0,120.03038815877355,1028.01,46,1258,1257,()
yj_m,,True,1789508445536,3492.6053958615225,24206.315452643845,24178.87593934454,3.5145106429668596e-06,2.433052326051292e-05,1.0062718929345105e-09,3.3197872693205897e-10,43567.5,1377.7253195938588,0.98,7.744e-06,2.9825474249090495e-12,2.1875,0.06406249999999991,0.44349677799262954,250.0,115.2541264197026,1028.01,35,1258,1257,()
yj_m,,True,1789508445586,11461.931962202325,8951.005336499225,8113.0452186453385,3.437362848365152e-05,2.433052326051292e-05,2.9989384509526336e-09,9.893784931143359e-10,43567.5,1377.7253195938588,0.98,7.744e-06,8.888727010217336e-12,2.75,0.6265624999999999,0.44349677799262954,250.0,110.51160431608452,1028.01,44,1258,1257,()
yj_m,,True,1789508445636,1171.9182305493634,8122.252346914383,8113.0452186453385,3.5145106429668596e-06,2.433052326051292e-05,2.9989384509526336e-09,9.893784931143359e-10,43567.5,1377.7253195938588,0.98,7.744e-06,8.888727010217336e-12,2.1875,0.06406249999999991,0.44349677799262954,250.0,110.51160431608452,1028.01,35,1258,1257,()
yj_m,,True,1789508445686,1153.6507151135079,2732.8298541925587,2706.1970252257006,1.0372092385341227e-05,2.433052326051292e-05,8.990669575687573e-09,2.9661079286429034e-09,43567.5,1377.7253195938588,0.98,7.744e-06,2.6647965206477514e-11,2.3125,0.1890624999999999,0.44349677799262954,250.0,105.74335947362988,1028.01,37,1258,1257,()
yj_m,,True,1789508445736,1658.1434204547786,1056.07124297734,903.347426544488,4.466000109721308e-05,2.433052326051292e-05,2.693373838854313e-08,8.885698035025604e-09,43567.5,1377.7253195938588,0.98,7.744e-06,7.983046395110965e-11,2.9375,0.8140624999999999,0.44349677799262954,250.0,100.97831346730186,1028.01,47,1258,1257,()
yj_m,,True,1789508445786,128.2130596803557,303.71799072423227,300.7581030866222,1.0372092385341227e-05,2.433052326051292e-05,8.089731585221968e-08,2.668879864121217e-08,43567.5,1377.7253195938588,0.98,7.744e-06,2.3977623023283095e-10,2.3125,0.1890624999999999,0.44349677799262954,250.0,96.20193872072784,1028.01,37,1258,1257,()
yj_m,,True,1789508445836,382.51995491411924,326.16118373046544,300.7581030866222,3.0944837612464334e-05,2.433052326051292e-05,8.089731585221968e-08,2.668879864121217e-08,43567.5,1377.7253195938588,0.98,7.744e-06,2.3977623023283095e-10,2.6875,0.5640624999999999,0.44349677799262954,250.0,96.20193872072784,1028.01,43,1258,1257,()
yj_m,,True,1789508445886,113.77994648061882,107.3822085046529,100.6076803276327,2.751604674127715e-05,2.433052326051292e-05,2.4183564496547036e-07,7.978389350447181e-08,43567.5,1377.7253195938588,0.98,7.744e-06,7.167906459550938e-10,2.625,0.5015624999999999,0.44349677799262954,250.0,91.44607670807696,1028.01,42,1258,1257,()
yj_m,,True,1789508445936,0.35445466193337183,100.60774828709489,100.6076803276327,8.571977177967474e-08,2.433052326051292e-05,2.4183564496547036e-07,7.978389350447181e-08,43567.5,1377.7253195938588,0.98,7.744e-06,7.167906459550938e-10,2.125,0.0015624999999999112,0.44349677799262954,250.0,91.44607670807696,1028.01,34,1258,1257,()
yj_m,,True,1789508445986,42.361886997508265,36.12047693372118,33.30723172180882,3.0944837612464334e-05,2.433052326051292e-05,7.304877050043713e-07,2.409948842351848e-07,43567.5,1377.7253195938588,0.98,7.744e-06,2.165134730271456e-09,2.6875,0.5640624999999999,0.44349677799262954,250.0,86.64515073540241,1028.01,43,1258,1257,()
yj_m,,True,1789508446036,0.03886061155368349,11.030123300255752,11.030115849524968,8.571977177967474e-08,2.433052326051292e-05,2.205826628879946e-06,7.277233133809275e-07,43567.5,1377.7253195938588,0.98,7.744e-06,6.537977039760029e-09,2.125,0.0015624999999999112,0.44349677799262954,250.0,81.84556608919772,1028.01,34,1258,1257,()
yj_m,,True,1789508446086,1.044383627073807,3.6758835445746363,3.659699939519918,6.943301514154044e-06,2.433052326051292e-05,6.648228997622307e-06,2.1933143661075017e-06,43567.5,1377.7253195938588,0.98,7.744e-06,1.9705070186586793e-08,2.25,0.1265624999999999,0.44349677799262954,250.0,77.05422013902003,1028.01,36,1258,1257,()
yj_m,,True,1789508446136,0.17655017720514013,1.2236221382786974,1.2222350789386542,3.5145106429668596e-06,2.433052326051292e-05,1.990658235864142e-05,6.567372014851712e-06,43567.5,1377.7253195938588,0.98,7.744e-06,5.9002270031972266e-08,2.1875,0.06406249999999991,0.44349677799262954,250.0,72.29131279147785,1028.01,35,1258,1257,()
yj_m,,True,1789508446186,0.4648221158437561,0.43868561117323424,0.4110098157585997,2.751604674127715e-05,2.433052326051292e-05,5.919693965363368e-05,1.9529636872970094e-05,43567.5,1377.7253195938588,0.98,7.744e-06,1.7545723095927923e-07,2.625,0.5015624999999999,0.44349677799262954,250.0,67.55828728896267,1028.01,42,1259,1258,()
yj_m,,True,1789508446236,0.09546169513993576,0.13843422943130892,0.13480423233043165,1.7229674127715595e-05,2.433052326051292e-05,0.00018048782920163835,5.954466202007924e-05,43567.5,1377.7253195938588,0.98,7.744e-06,5.349583089744562e-07,2.4375,0.3140624999999999,0.44349677799262954,250.0,62.71680062628971,1028.01,39,1259,1258,()
yj_m,,True,1789508446286,0.0,0.044844839832655595,0.044844839832655595,0.0,2.433052326051292e-05,0.0005425490056672175,0.0001789921088567853,43567.5,1377.7253195938588,0.98,7.744e-06,1.608092356650011e-06,1.9375,-0.1859375000000001,0.44349677799262954,250.0,57.9368901228431,1028.01,31,1259,1258,()
