channel,laser,autolevel,t_ms,tp,tp_err,tp_pd_err,pd_power_nw,pd_power_err_nw,delivered_power_nw,delivered_power_err_nw,laser_output_power_uw,laser_output_power_err_uw,pd_route_tx,laser_route_tx,atten_tx,pd_mv,pd_net_mv,pd_net_err_mv,laser_current_ma,atten_db,wavelength_nm,pd_raw,pd_ontime_s,laser_current_ontime_s,flags,step_index,step_label
yj_m,,False,1789621109906,,,,0.0,0.015650598414093782,0.0,0.0010677929077185701,0.0,435.67499999999995,1.0,0.0024488678200343937,1.0008270799054182e-06,2.4375,-48.4609375,291.1011305021443,0.0,59.996409522211266,1028.01,39,3,0,(),0,dark
yj_m,,False,1789621109956,,,,0.0,0.015650598414093782,0.0,0.0010677929077185701,0.0,435.67499999999995,1.0,0.0024488678200343937,1.0008270799054182e-06,2.375,-48.5234375,291.1011305021443,0.0,59.996409522211266,1028.01,38,3,0,(),0,dark
yj_m,,False,1789621110006,,,,0.0,0.015650598414093782,0.0,0.0010677929077185701,0.0,435.67499999999995,1.0,0.0024488678200343937,1.0008270799054182e-06,2.3125,-48.5859375,291.1011305021443,0.0,59.996409522211266,1028.01,37,3,0,(),0,dark
yj_m,,False,1789621110056,,,,0.0,0.015650598414093782,0.0,0.0010677929077185701,0.0,435.67499999999995,1.0,0.0024488678200343937,1.0008270799054182e-06,2.75,-48.1484375,291.1011305021443,0.0,59.996409522211266,1028.01,44,3,0,(),0,dark
yj_m,,False,1789621110107,,,,0.0,0.015650598414093782,0.0,0.0010677929077185701,0.0,435.67499999999995,1.0,0.0024488678200343937,1.0008270799054182e-06,2.3125,-48.5859375,291.1011305021443,0.0,59.996409522211266,1028.01,37,3,0,(),0,dark
yj_m,,False,1789621110156,,,,0.0,0.015650598414093782,0.0,0.0010677929077185701,0.0,435.67499999999995,1.0,0.0024488678200343937,1.0008270799054182e-06,2.25,-48.6484375,291.1011305021443,0.0,59.996409522211266,1028.01,36,3,0,(),0,dark
yj_m,,False,1789621110206,,,,0.0,0.015650598414093782,0.0,0.0010677929077185701,0.0,435.67499999999995,1.0,0.0024488678200343937,1.0008270799054182e-06,2.125,-48.7734375,291.1011305021443,0.0,59.996409522211266,1028.01,34,3,0,(),0,dark
yj_m,,False,1789621110256,,,,0.0,0.015650598414093782,0.0,0.0010677929077185701,0.0,435.67499999999995,1.0,0.0024488678200343937,1.0008270799054182e-06,2.0625,-48.8359375,291.1011305021443,0.0,59.996409522211266,1028.01,33,3,0,(),0,dark
yj_m,,False,1789621110306,,,,0.0,0.015650598414093782,0.0,0.0010677929077185701,0.0,435.67499999999995,1.0,0.0024488678200343937,1.0008270799054182e-06,2.625,-48.2734375,291.1011305021443,0.0,59.996409522211266,1028.01,42,3,0,(),0,dark
yj_m,,False,1789621110356,,,,0.0,0.015650598414093782,0.0,0.0010677929077185701,0.0,435.67499999999995,1.0,0.0024488678200343937,1.0008270799054182e-06,2.375,-48.5234375,291.1011305021443,0.0,59.996409522211266,1028.01,38,3,0,(),0,dark
